Year,Country,Total,Continent,Latitude,Longitude
1990,Burundi,333110,Africa,-3.333,29.749
1990,Comoros,14079,Africa,-11.6527,43.3307
1990,Djibouti,122221,Africa,11.41,42.165
1990,Eritrea,11848,Africa,15.982,38.02
1990,Ethiopia,1155390,Africa,8.435,38.786
1990,Kenya,298089,Africa,0.806,38.166
1990,Madagascar,23917,Africa,-19.615,46.645
1990,Malawi,1127724,Africa,-13.2731,33.7428
1990,Mauritius,3613,Africa,-20.2529,57.5902
1990,Mayotte,15229,Africa,-12.8252,45.1494
1990,Mozambique,122332,Africa,-13.852,38.042
1990,Réunion,57210,Africa,-21.1313,55.537
1990,Rwanda,160024,Africa,-1.887,29.904
1990,Seychelles,3721,Africa,-4.6841,55.4924
1990,Somalia,478294,Africa,2.875,43.446
1990,Uganda,544273,Africa,1.9392,32.7415
1990,Tanzania,574025,Africa,-5.651,34.146
1990,Zambia,279463,Africa,-15.13,25.268
1990,Zimbabwe,634621,Africa,-19.098,30.047
1990,Angola,33517,Africa,-12.836,17.808
1990,Cameroon,265967,Africa,4.4,12.131
1990,Central African Republic,67234,Africa,7.043,21.424
1990,Chad,74342,Africa,15.981,18.781
1990,Republic of Congo,129391,Africa,0.509,16.08
1990,Democratic Republic of the Congo,754194,Africa,-1.418,23.607
1990,Equatorial Guinea,2740,Africa,1.6342,10.4695
1990,Gabon,128188,Africa,-0.406,11.914
1990,Sao Tome and Principe,5582,Africa,0.216,6.595
1990,Botswana,27510,Africa,-22.126,23.662
1990,Lesotho,8240,Africa,-29.446,28.371
1990,Namibia,120641,Africa,-21.276,17.219
1990,South Africa,1163883,Africa,-31.7,23.441
1990,Benin,76751,Africa,10.478,2.274
1990,Burkina Faso,349652,Africa,12.673,-1.226
1990,Cape Verde,8931,Africa,15.416,-23.36
1990,Côte d'Ivoire,1816426,Africa,7.497,-5.336
1990,Gambia,118123,Africa,13.499,-14.641
1990,Ghana,164851,Africa,7.258,-1.062
1990,Guinea,403621,Africa,10.599,-10.907
1990,Guinea-Bissau,15368,Africa,12.191,-14.475
1990,Liberia,94964,Africa,6.51,-9.33
1990,Mali,160736,Africa,18.211,-2.209
1990,Mauritania,111650,Africa,19.413,-10.6528
1990,Niger,115464,Africa,16.996,9.915
1990,Nigeria,456621,Africa,9.3417,7.678
1990,Saint Helena,178,Africa,-40.289,-10.033
1990,Senegal,270410,Africa,15.044,-15.081
1990,Sierra Leone,222148,Africa,8.677,-11.779
1990,Togo,84844,Africa,7.7,1.106
1990,Algeria,273954,Africa,28.6045,2.64
1990,Egypt,173833,Africa,26.16,28.742
1990,Libya,457075,Africa,27.24,17.571
1990,Morocco,54895,Africa,31.129,-7.355
1990,Sudan,1402896,Africa,15.739,29.533
1990,Tunisia,37984,Africa,35.594,9.421
1990,Western Sahara,2688,Africa,24.4813,-13.6266
1990,Armenia,658789,Asia,40.56,44.449
1990,Azerbaijan,360600,Asia,40.46,47.883
1990,Bahrain,173212,Asia,26.025,50.5534
1990,Cyprus,43805,Asia,34.894,32.928
1990,Georgia,304470,Asia,42.05,43.576
1990,Iraq,83638,Asia,33.545,43.278
1990,Israel,1632704,Asia,30.992,34.834
1990,Jordan,1146349,Asia,30.681,36.279
1990,Kuwait,1074391,Asia,29.3169,47.4272
1990,Lebanon,523693,Asia,34.161,36.021
1990,Oman,304000,Asia,19.85,56.25
1990,Qatar,309753,Asia,25.3174,51.1522
1990,Saudi Arabia,4998445,Asia,24.191,44.32
1990,Palestine,288332,Asia,32.097,35.26
1990,Syria,714140,Asia,35.303,38.322
1990,Turkey,1163686,Asia,39.144,34.188
1990,United Arab Emirates,1306574,Asia,23.9299,53.9031
1990,Yemen,118863,Asia,15.569,47.793
1990,Kazakhstan,3619200,Asia,48.866,69.772
1990,Kyrgyzstan,623083,Asia,41.741,75.043
1990,Tajikistan,428900,Asia,38.367,72.597
1990,Turkmenistan,306500,Asia,39.584,59.597
1990,Uzbekistan,1653000,Asia,41.757,63.958
1990,Afghanistan,57686,Asia,34.023,65.5267
1990,Bangladesh,881617,Asia,24.598,90.1963
1990,Bhutan,23807,Asia,27.5342,90.3002
1990,India,7594801,Asia,22.741,78.236
1990,Iran,4291601,Asia,33.408,54.0418
1990,Maldives,8689,Asia,4.221,73.463
1990,Nepal,429974,Asia,28.2114,83.5608
1990,Pakistan,6208204,Asia,28.1854,66.6429
1990,Sri Lanka,41561,Asia,7.3,80.727
1990,China,376361,Asia,35.1753,99.3877
1990,Hong Kong,2218473,Asia,22.4114,114.0599
1990,Macau,205047,Asia,22.1404,113.5643
1990,South Korea,34103,Asia,36.338,128.16
1990,Japan,1075317,Asia,35.962,137.855
1990,Mongolia,6718,Asia,46.516,102.564
1990,North Korea,43247,Asia,39.767,126.389
1990,Brunei,73200,Asia,4.452,114.557
1990,Cambodia,38375,Asia,12.69,104.444
1990,Indonesia,465612,Asia,-0.739,114.045
1990,Laos,22866,Asia,19.595,102.538
1990,Malaysia,695920,Asia,4.416,102.099
1990,Myanmar,133545,Asia,21.841,96.05
1990,Philippines,154071,Asia,17.181,121.256
1990,Singapore,727262,Asia,1.3389,103.8297
1990,Thailand,528693,Asia,15.688,100.845
1990,Timor-Leste,8954,Asia,-8.856,125.556
1990,Vietnam,28118,Asia,21.75,105.373
1990,Anguilla,2570,North America ,18.2177,-63.0406
1990,Antigua and Barbuda,12029,North America ,17.625,-61.786
1990,Aruba,14444,North America ,12.5176,-69.9818
1990,Bahamas,26855,North America ,24.7032,-78.0455
1990,Barbados,24024,North America ,13.1898,-59.559
1990,British Virgin Islands,8035,North America ,18.4204,-64.64
1990,Cayman Islands,9315,North America ,19.3299,-81.1715
1990,Cuba,34555,North America ,20.571,-76.456
1990,Dominica,2519,North America ,15.4238,-61.3411
1990,Dominican Republic,291151,North America ,19.01,-70.1685
1990,Grenada,4263,North America ,12.111,-61.6867
1990,Guadeloupe,65944,North America ,16.2495,-61.5527
1990,Haiti,19084,North America ,19.3175,-72.4205
1990,Jamaica,20475,North America ,18.163,-77.477
1990,Martinique,38705,North America ,14.6366,-61.0154
1990,Montserrat,2013,North America ,16.7492,-62.1928
1990,Puerto Rico,321909,North America ,18.242,-66.643
1990,Saint Kitts and Nevis,3210,North America ,17.147,-62.58
1990,Saint Lucia,5305,North America ,13.909,-60.9776
1990,Saint Vincent and the Grenadines,3970,North America ,13.2528,-61.1949
1990,Trinidad and Tobago,50666,North America ,10.4435,-61.2604
1990,Turks and Caicos Islands,5062,North America ,21.7779,-71.7592
1990,Belize,30404,North America ,17.108,-88.744
1990,Costa Rica,417628,North America ,10.126,-84.075
1990,El Salvador,47360,North America ,13.848,-89.229
1990,Guatemala,264257,North America ,15.124,-90.711
1990,Honduras,270423,North America ,14.881,-87.123
1990,Mexico,695674,North America ,22.925,-101.68
1990,Nicaragua,41421,North America ,12.692,-85.03
1990,Panama,62744,North America ,8.348,-81.005
1990,Argentina,1649919,South America,-33.166,-64.31
1990,Bolivia,73758,South America,-16.71,-65.183
1990,Brazil,798517,South America,-11.694,-48.978
1990,Chile,107501,South America,-23.176,-69.201
1990,Colombia,104277,South America,3.794,-73.606
1990,Ecuador,78663,South America,-1.151,-78.308
1990,Falkland Islands,855,South America,-51.663,-58.685
1990,French Guiana,63612,South America,3.9351,-53.0359
1990,Guyana,4095,South America,5.17,-58.939
1990,Paraguay,195884,South America,-23.266,-58.409
1990,Peru,56688,South America,-12.664,-72.98
1990,Suriname,18083,South America,4.248,-55.848
1990,Uruguay,98116,South America,-32.948,-56.249
1990,Venezuela,1025009,South America,6.983,-64.588
1990,Australia,3955213,Oceania,-24.578,133.582
1990,New Zealand,518047,Oceania,-42.558,172.377
1990,Fiji,13283,Oceania,-17.7941,177.9783
1990,New Caledonia,37673,Oceania,-21.02,165.062
1990,Papua New Guinea,33710,Oceania,-5.636,142.798
1990,Solomon Islands,4226,Oceania,-9.5987,160.1487
1990,Vanuatu,2308,Oceania,-15.339,166.89
1990,Micronesia,108969,Oceania,7.531,150.457
1990,Guam,69755,Oceania,13.45,144.7579
1990,Kiribati,2162,Oceania,2.048,-158.59
1990,Marshall Islands,1158,Oceania,5.961,169.651
1990,Micronesia,3685,Oceania,7.531,150.457
1990,Nauru,2815,Oceania,-0.5287,166.9315
1990,Northern Mariana Islands,26593,Oceania,15.1905,145.7471
1990,Palau,2801,Oceania,7.5288,134.5573
1990,American Samoa,21283,Oceania,-14.3018,-170.7511
1990,Cook Islands,2587,Oceania,-21.202,-159.82
1990,French Polynesia,25830,Oceania,-17.529,-149.53
1990,Niue,461,Oceania,-19.033,-169.86
1990,Samoa,3357,Oceania,-13.6221,-172.439
1990,Tokelau,270,Oceania,-8.571,-172.48
1990,Tonga,2911,Oceania,-21.167,-175.19
1990,Tuvalu,318,Oceania,-7.4786,178.6758
1990,Wallis and Futuna,1402,Oceania,-13.2859,-176.2086
1990,Belarus,1248977,Europe,53.3292,27.9492
1990,Bulgaria,21510,Europe,42.625,24.521
1990,Czech Republic,110394,Europe,49.848,15.2812
1990,Hungary,347510,Europe,47.174,19.618
1990,Poland,1127771,Europe,52.442,19.72
1990,Moldova,544162,Europe,47.524,28.444
1990,Romania,135825,Europe,45.933,25.119
1990,Russia,11524948,Europe,64.736,104.062
1990,Slovakia,41295,Europe,48.8595,19.4434
1990,Ukraine,6892920,Europe,49.364,32.132
1990,Denmark,235189,Europe,56.113,9.096
1990,Estonia,381997,Europe,58.777,25.977
1990,Faroe Islands,4285,Europe,62.1252,-7.0174
1990,Finland,63255,Europe,62.716,26.192
1990,Iceland,9584,Europe,64.826,-18.417
1990,Ireland,227961,Europe,53.214,-7.588
1990,Isle of Man,34769,Europe,54.2362,-4.5149
1990,Latvia,646007,Europe,57.017,25.0173
1990,Lithuania,349258,Europe,55.342,24.23
1990,Norway,192587,Europe,61.3701,9.3031
1990,Sweden,788767,Europe,66.2188,19
1990,United Kingdom,3650286,Europe,52.289,-1.259
1990,Albania,66013,Europe,40.654,20.076
1990,Andorra,38891,Europe,42.5425,1.5893
1990,Bosnia and Herzegovina,56000,Europe,44.342,17.804
1990,Croatia,475438,Europe,45.754,16.385
1990,Gibraltar,8709,Europe,36.134,-5.3482
1990,Greece,618139,Europe,39.787,21.617
1990,Italy,1428219,Europe,44.3713,11.1084
1990,Malta,15077,Europe,35.9024,14.4137
1990,Macedonia,95142,Europe,41.636,21.676
1990,Portugal,435782,Europe,40.957,-7.9373
1990,San Marino,3310,Europe,43.942,12.4611
1990,Serbia,99269,Europe,44.021,20.699
1990,Slovenia,178077,Europe,46.037,14.534
1990,Spain,821605,Europe,40.617,-3.388
1990,Austria,793239,Europe,47.65,14.705
1990,Belgium,1280583,Europe,50.6745,4.4588
1990,France,5897267,Europe,46.656,2.543
1990,Germany,5936181,Europe,51.3819,9.9877
1990,Liechtenstein,10906,Europe,47.1593,9.547
1990,Luxembourg,113795,Europe,49.671,6.113
1990,Monaco,20359,Europe,43.7384,7.4243
1990,Netherlands,1182263,Europe,52.1704,5.0102
1990,Switzerland,1392282,Europe,46.7794,8.0329
1990,Bermuda,15683,North America ,32.3019,-64.7737
1990,Canada,4333318,North America ,59.2067,-111.1937
1990,Greenland,9282,North America ,71,-39
1990,Saint Pierre and Miquelon,1099,North America ,46.9642,-56.3267
1990,United States of America,23251026,North America ,40.0792,-98.8164
1995,Burundi,254853,Africa,-3.333,29.749
1995,Comoros,13939,Africa,-11.6527,43.3307
1995,Djibouti,99774,Africa,11.41,42.165
1995,Eritrea,12400,Africa,15.982,38.02
1995,Ethiopia,806904,Africa,8.435,38.786
1995,Kenya,618745,Africa,0.806,38.166
1995,Madagascar,21177,Africa,-19.615,46.645
1995,Malawi,241624,Africa,-13.2731,33.7428
1995,Mauritius,7493,Africa,-20.2529,57.5902
1995,Mayotte,26316,Africa,-12.8252,45.1494
1995,Mozambique,168256,Africa,-13.852,38.042
1995,Réunion,77159,Africa,-21.1313,55.537
1995,Rwanda,215735,Africa,-1.887,29.904
1995,Seychelles,5148,Africa,-4.6841,55.4924
1995,Somalia,19527,Africa,2.875,43.446
1995,Uganda,606987,Africa,1.9392,32.7415
1995,Tanzania,1106043,Africa,-5.651,34.146
1995,Zambia,244338,Africa,-15.13,25.268
1995,Zimbabwe,431226,Africa,-19.098,30.047
1995,Angola,39813,Africa,-12.836,17.808
1995,Cameroon,244791,Africa,4.4,12.131
1995,Central African Republic,99712,Africa,7.043,21.424
1995,Chad,89584,Africa,15.981,18.781
1995,Republic of Congo,191635,Africa,0.509,16.08
1995,Democratic Republic of the Congo,1816963,Africa,-1.418,23.607
1995,Equatorial Guinea,3629,Africa,1.6342,10.4695
1995,Gabon,171427,Africa,-0.406,11.914
1995,Sao Tome and Principe,4936,Africa,0.216,6.595
1995,Botswana,40168,Africa,-22.126,23.662
1995,Lesotho,7204,Africa,-29.446,28.371
1995,Namibia,115372,Africa,-21.276,17.219
1995,South Africa,1003807,Africa,-31.7,23.441
1995,Benin,105703,Africa,10.478,2.274
1995,Burkina Faso,464104,Africa,12.673,-1.226
1995,Cape Verde,9979,Africa,15.416,-23.36
1995,Côte d'Ivoire,2076394,Africa,7.497,-5.336
1995,Gambia,150890,Africa,13.499,-14.641
1995,Ghana,252879,Africa,7.258,-1.062
1995,Guinea,774505,Africa,10.599,-10.907
1995,Guinea-Bissau,27961,Africa,12.191,-14.475
1995,Liberia,208563,Africa,6.51,-9.33
1995,Mali,176187,Africa,18.211,-2.209
1995,Mauritania,89562,Africa,19.413,-10.6528
1995,Niger,145999,Africa,16.996,9.915
1995,Nigeria,462999,Africa,9.3417,7.678
1995,Saint Helena,117,Africa,-40.289,-10.033
1995,Senegal,287654,Africa,15.044,-15.081
1995,Sierra Leone,98516,Africa,8.677,-11.779
1995,Togo,101583,Africa,7.7,1.106
1995,Algeria,262032,Africa,28.6045,2.64
1995,Egypt,166955,Africa,26.16,28.742
1995,Libya,508041,Africa,27.24,17.571
1995,Morocco,50360,Africa,31.129,-7.355
1995,Sudan,1053396,Africa,15.739,29.533
1995,Tunisia,37867,Africa,35.594,9.421
1995,Western Sahara,2989,Africa,24.4813,-13.6266
1995,Armenia,693999,Asia,40.56,44.449
1995,Azerbaijan,344070,Asia,40.46,47.883
1995,Bahrain,205979,Asia,26.025,50.5534
1995,Cyprus,61941,Asia,34.894,32.928
1995,Georgia,152235,Asia,42.05,43.576
1995,Iraq,199460,Asia,33.545,43.278
1995,Israel,1792185,Asia,30.992,34.834
1995,Jordan,1537097,Asia,30.681,36.279
1995,Kuwait,921954,Asia,29.3169,47.4272
1995,Lebanon,608303,Asia,34.161,36.021
1995,Oman,539643,Asia,19.85,56.25
1995,Qatar,361673,Asia,25.3174,51.1522
1995,Saudi Arabia,5122702,Asia,24.191,44.32
1995,Palestine,281767,Asia,32.097,35.26
1995,Syria,830610,Asia,35.303,38.322
1995,Turkey,1216173,Asia,39.144,34.188
1995,United Arab Emirates,1824118,Asia,23.9299,53.9031
1995,Yemen,136515,Asia,15.569,47.793
1995,Kazakhstan,3251968,Asia,48.866,69.772
1995,Kyrgyzstan,518338,Asia,41.741,75.043
1995,Tajikistan,348347,Asia,38.367,72.597
1995,Turkmenistan,273565,Asia,39.584,59.597
1995,Uzbekistan,1512577,Asia,41.757,63.958
1995,Afghanistan,71522,Asia,34.023,65.5267
1995,Bangladesh,934735,Asia,24.598,90.1963
1995,Bhutan,27972,Asia,27.5342,90.3002
1995,India,6952238,Asia,22.741,78.236
1995,Iran,2937668,Asia,33.408,54.0418
1995,Maldives,18510,Asia,4.221,73.463
1995,Nepal,690225,Asia,28.2114,83.5608
1995,Pakistan,3669308,Asia,28.1854,66.6429
1995,Sri Lanka,40841,Asia,7.3,80.727
1995,China,442198,Asia,35.1753,99.3877
1995,Hong Kong,2443798,Asia,22.4114,114.0599
1995,South Korea,35143,Asia,36.338,128.16
1995,Japan,1362371,Asia,35.962,137.855
1995,Mongolia,7424,Asia,46.516,102.564
1995,North Korea,123886,Asia,39.767,126.389
1995,Brunei,84748,Asia,4.452,114.557
1995,Cambodia,92230,Asia,12.69,104.444
1995,Indonesia,378960,Asia,-0.739,114.045
1995,Laos,23526,Asia,19.595,102.538
1995,Malaysia,937368,Asia,4.416,102.099
1995,Myanmar,113663,Asia,21.841,96.05
1995,Philippines,207345,Asia,17.181,121.256
1995,Singapore,991492,Asia,1.3389,103.8297
1995,Thailand,809720,Asia,15.688,100.845
1995,Timor-Leste,9743,Asia,-8.856,125.556
1995,Vietnam,51262,Asia,21.75,105.373
1995,Anguilla,3317,North America ,18.2177,-63.0406
1995,Antigua and Barbuda,17550,North America ,17.625,-61.786
1995,Aruba,22274,North America ,12.5176,-69.9818
1995,Bahamas,31654,North America ,24.7032,-78.0455
1995,Barbados,26224,North America ,13.1898,-59.559
1995,British Virgin Islands,10046,North America ,18.4204,-64.64
1995,Cayman Islands,12666,North America ,19.3299,-81.1715
1995,Cuba,26187,North America ,20.571,-76.456
1995,Dominica,3121,North America ,15.4238,-61.3411
1995,Dominican Republic,323381,North America ,19.01,-70.1685
1995,Grenada,5544,North America ,12.111,-61.6867
1995,Guadeloupe,74566,North America ,16.2495,-61.5527
1995,Haiti,18129,North America ,19.3175,-72.4205
1995,Jamaica,22713,North America ,18.163,-77.477
1995,Martinique,46599,North America ,14.6366,-61.0154
1995,Montserrat,1612,North America ,16.7492,-62.1928
1995,Puerto Rico,338067,North America ,18.242,-66.643
1995,Saint Kitts and Nevis,4248,North America ,17.147,-62.58
1995,Saint Lucia,7155,North America ,13.909,-60.9776
1995,Saint Vincent and the Grenadines,4135,North America ,13.2528,-61.1949
1995,Trinidad and Tobago,45994,North America ,10.4435,-61.2604
1995,Turks and Caicos Islands,7039,North America ,21.7779,-71.7592
1995,Belize,33446,North America ,17.108,-88.744
1995,Costa Rica,364287,North America ,10.126,-84.075
1995,El Salvador,39537,North America ,13.848,-89.229
1995,Guatemala,156188,North America ,15.124,-90.711
1995,Honduras,149442,North America ,14.881,-87.123
1995,Mexico,458549,North America ,22.925,-101.68
1995,Nicaragua,26619,North America ,12.692,-85.03
1995,Panama,70848,North America ,8.348,-81.005
1995,Argentina,1595069,South America,-33.166,-64.31
1995,Bolivia,83598,South America,-16.71,-65.183
1995,Brazil,741557,South America,-11.694,-48.978
1995,Chile,142417,South America,-23.176,-69.201
1995,Colombia,106943,South America,3.794,-73.606
1995,Ecuador,115093,South America,-1.151,-78.308
1995,Falkland Islands,868,South America,-51.663,-58.685
1995,French Guiana,70131,South America,3.9351,-53.0359
1995,Guyana,6352,South America,5.17,-58.939
1995,Paraguay,186570,South America,-23.266,-58.409
1995,Peru,56732,South America,-12.664,-72.98
1995,Suriname,22320,South America,4.248,-55.848
1995,Uruguay,93428,South America,-32.948,-56.249
1995,Venezuela,1019996,South America,6.983,-64.588
1995,Australia,4153330,Oceania,-24.578,133.582
1995,New Zealand,588617,Oceania,-42.558,172.377
1995,Fiji,13001,Oceania,-17.7941,177.9783
1995,New Caledonia,43662,Oceania,-21.02,165.062
1995,Papua New Guinea,33526,Oceania,-5.636,142.798
1995,Solomon Islands,4178,Oceania,-9.5987,160.1487
1995,Vanuatu,2461,Oceania,-15.339,166.89
1995,Micronesia,118687,Oceania,7.531,150.457
1995,Guam,71912,Oceania,13.45,144.7579
1995,Kiribati,2223,Oceania,2.048,-158.59
1995,Marshall Islands,1480,Oceania,5.961,169.651
1995,Nauru,2605,Oceania,-0.5287,166.9315
1995,Northern Mariana Islands,32376,Oceania,15.1905,145.7471
1995,Palau,4749,Oceania,7.5288,134.5573
1995,American Samoa,23098,Oceania,-14.3018,-170.7511
1995,Cook Islands,2686,Oceania,-21.202,-159.82
1995,French Polynesia,28360,Oceania,-17.529,-149.53
1995,Niue,480,Oceania,-19.033,-169.86
1995,Samoa,4694,Oceania,-13.6221,-172.439
1995,Tokelau,266,Oceania,-8.571,-172.48
1995,Tonga,3274,Oceania,-21.167,-175.19
1995,Tuvalu,263,Oceania,-7.4786,178.6758
1995,Wallis and Futuna,1704,Oceania,-13.2859,-176.2086
1995,Belarus,1186282,Europe,53.3292,27.9492
1995,Bulgaria,32435,Europe,42.625,24.521
1995,Czech Republic,165592,Europe,49.848,15.2812
1995,Hungary,322234,Europe,47.174,19.618
1995,Poland,964725,Europe,52.442,19.72
1995,Moldova,367231,Europe,47.524,28.444
1995,Romania,135037,Europe,45.933,25.119
1995,Russia,11928927,Europe,64.736,104.062
1995,Slovakia,69323,Europe,48.8595,19.4434
1995,Ukraine,6172338,Europe,49.364,32.132
1995,Denmark,303108,Europe,56.113,9.096
1995,Estonia,315755,Europe,58.777,25.977
1995,Faroe Islands,2900,Europe,62.1252,-7.0174
1995,Finland,99729,Europe,62.716,26.192
1995,Iceland,12738,Europe,64.826,-18.417
1995,Ireland,226892,Europe,53.214,-7.588
1995,Isle of Man,36886,Europe,54.2362,-4.5149
1995,Latvia,538093,Europe,57.017,25.0173
1995,Lithuania,273587,Europe,55.342,24.23
1995,Norway,233302,Europe,61.3701,9.3031
1995,Sweden,936022,Europe,66.2188,19
1995,United Kingdom,4155293,Europe,52.289,-1.259
1995,Albania,71354,Europe,40.654,20.076
1995,Andorra,44206,Europe,42.5425,1.5893
1995,Bosnia and Herzegovina,69476,Europe,44.342,17.804
1995,Croatia,674085,Europe,45.754,16.385
1995,Gibraltar,8381,Europe,36.134,-5.3482
1995,Greece,857850,Europe,39.787,21.617
1995,Italy,1774954,Europe,44.3713,11.1084
1995,Malta,17740,Europe,35.9024,14.4137
1995,Macedonia,109343,Europe,41.636,21.676
1995,Portugal,532822,Europe,40.957,-7.9373
1995,San Marino,3659,Europe,43.942,12.4611
1995,Serbia,870980,Europe,44.021,20.699
1995,Slovenia,174419,Europe,46.037,14.534
1995,Spain,1020067,Europe,40.617,-3.388
1995,Austria,894893,Europe,47.65,14.705
1995,Belgium,1288003,Europe,50.6745,4.4588
1995,France,6087993,Europe,46.656,2.543
1995,Germany,7464406,Europe,51.3819,9.9877
1995,Liechtenstein,13311,Europe,47.1593,9.547
1995,Luxembourg,126106,Europe,49.671,6.113
1995,Monaco,21060,Europe,43.7384,7.4243
1995,Netherlands,1346164,Europe,52.1704,5.0102
1995,Switzerland,1478829,Europe,46.7794,8.0329
1995,Bermuda,16676,North America ,32.3019,-64.7737
1995,Canada,4864778,North America ,59.2067,-111.1937
1995,Greenland,7121,North America ,71,-39
1995,Saint Pierre and Miquelon,1320,North America ,46.9642,-56.3267
1995,United States of America,28451053,North America ,40.0792,-98.8164
2000,Burundi,125628,Africa,-3.333,29.749
2000,Comoros,13799,Africa,-11.6527,43.3307
2000,Djibouti,100507,Africa,11.41,42.165
2000,Eritrea,12952,Africa,15.982,38.02
2000,Ethiopia,611384,Africa,8.435,38.786
2000,Kenya,707852,Africa,0.806,38.166
2000,Madagascar,23541,Africa,-19.615,46.645
2000,Malawi,232620,Africa,-13.2731,33.7428
2000,Mauritius,15543,Africa,-20.2529,57.5902
2000,Mayotte,45474,Africa,-12.8252,45.1494
2000,Mozambique,195702,Africa,-13.852,38.042
2000,Réunion,100678,Africa,-21.1313,55.537
2000,Rwanda,347076,Africa,-1.887,29.904
2000,Seychelles,6574,Africa,-4.6841,55.4924
2000,Somalia,20097,Africa,2.875,43.446
2000,Uganda,584280,Africa,1.9392,32.7415
2000,Tanzania,949600,Africa,-5.651,34.146
2000,Zambia,343703,Africa,-15.13,25.268
2000,Zimbabwe,410109,Africa,-19.098,30.047
2000,Angola,46108,Africa,-12.836,17.808
2000,Cameroon,227242,Africa,4.4,12.131
2000,Central African Republic,123529,Africa,7.043,21.424
2000,Chad,104825,Africa,15.981,18.781
2000,Republic of Congo,305880,Africa,0.509,16.08
2000,Democratic Republic of the Congo,744387,Africa,-1.418,23.607
2000,Equatorial Guinea,4517,Africa,1.6342,10.4695
2000,Gabon,214431,Africa,-0.406,11.914
2000,Sao Tome and Principe,4365,Africa,0.216,6.595
2000,Botswana,74934,Africa,-22.126,23.662
2000,Lesotho,6167,Africa,-29.446,28.371
2000,Namibia,135547,Africa,-21.276,17.219
2000,South Africa,1016963,Africa,-31.7,23.441
2000,Benin,134655,Africa,10.478,2.274
2000,Burkina Faso,520363,Africa,12.673,-1.226
2000,Cape Verde,11027,Africa,15.416,-23.36
2000,Côte d'Ivoire,2163644,Africa,7.497,-5.336
2000,Gambia,182514,Africa,13.499,-14.641
2000,Ghana,191601,Africa,7.258,-1.062
2000,Guinea,560075,Africa,10.599,-10.907
