"Sort
order","Major area, region, country or area of destination",Notes,Code,Type of data (a),Total
,,,,,2019
1,WORLD,,900,,"130,154,101"
2,Burundi,,108,B R,"162,855"
3,Comoros,,174,B,"6,457"
4,Djibouti,,262,B R,"54,687"
5,Eritrea,,232,I,"7,179"
6,Ethiopia,,231,B R,"615,120"
7,Kenya,,404,B R,"522,533"
8,Madagascar,,450,C,"15,037"
9,Malawi,,454,B R,"129,720"
10,Mauritius,1,480,C,"12,870"
11,Mayotte,,175,B,"40,106"
12,Mozambique,,508,B R,"172,934"
13,Réunion,,638,B,"63,629"
14,Rwanda,,646,B R,"270,015"
15,Seychelles,,690,B,"3,877"
16,Somalia,,706,I R,"24,947"
17,South Sudan,,728,B R,"423,875"
18,Uganda,,800,B R,"897,546"
19,United Republic of Tanzania,2,834,B R,"257,742"
20,Zambia,,894,B R,"84,151"
21,Zimbabwe,,716,B R,"177,605"
22,Middle Africa,,911,,"1,783,607"
23,Angola,,24,B R,"327,760"
24,Cameroon,,120,B,"255,515"
25,Central African Republic,,140,C,"42,645"
26,Chad,,148,B R,"275,896"
27,Congo,,178,B,"181,904"
28,Democratic Republic of the Congo,,180,B R,"499,879"
29,Equatorial Guinea,,226,C,"52,214"
30,Gabon,,266,C,"146,705"
31,Sao Tome and Principe,,678,C,"1,089"
32,Southern Africa,,913,,"1,990,075"
33,Botswana,,72,B,"47,653"
34,Eswatini,,748,B R,"15,728"
35,Lesotho,,426,C R,"3,177"
36,Namibia,,516,B,"49,623"
37,South Africa,,710,B R,"1,873,894"
38,Western Africa,,914,,"3,470,892"
39,Benin,,204,C B R,"206,519"
40,Burkina Faso,,854,B R,"376,508"
41,Cabo Verde,,132,B,"7,742"
42,Côte d'Ivoire,,384,C B,"1,137,566"
43,Gambia,,270,B,"101,854"
44,Ghana,,288,B,"217,556"
45,Guinea,,324,C B R,"49,947"
46,Guinea-Bissau,,624,B R,"13,926"
47,Liberia,,430,B,"40,591"
48,Mali,,466,B R,"230,802"
49,Mauritania,,478,C R,"75,221"
50,Niger,,562,B R,"154,735"
51,Nigeria,,566,C R,"567,087"
52,Saint Helena,3,654,C,131
53,Senegal,,686,B R,"129,243"
54,Sierra Leone,,694,B R,"23,608"
55,Togo,,768,C R,"137,856"
56,NORTHERN AFRICA AND WESTERN ASIA,,1833,,"17,262,072"
57,Northern Africa,,912,,"1,280,977"
58,Algeria,,12,B R,"117,479"
59,Egypt,,818,B R,"233,005"
60,Libya,,434,C,"235,543"
61,Morocco,,504,C,"49,095"
62,Sudan,4,729,B R,"615,941"
63,Tunisia,,788,C,"27,711"
64,Western Sahara,,732,I,"2,203"
65,Western Asia,,922,,"15,981,095"
66,Armenia,,51,B R,"112,158"
67,Azerbaijan,5,31,B R,"132,247"
68,Bahrain,,48,C,"205,433"
69,Cyprus,6,196,B,"106,714"
70,Georgia,7,268,B,"44,452"
71,Iraq,,368,C R,"153,774"
72,Israel,,376,B R,"1,068,578"
73,Jordan,,400,C R,"1,661,345"
74,Kuwait,,414,C R,"1,021,042"
75,Lebanon,,422,B R,"967,998"
76,Oman,,512,C,"374,700"
77,Qatar,,634,C,"384,010"
78,Saudi Arabia,,682,C R,"4,121,156"
79,State of Palestine,8,275,B,"141,283"
80,Syrian Arab Republic,,760,C R,"423,138"
81,Turkey,,792,B R,"2,618,617"
82,United Arab Emirates,,784,C R,"2,261,236"
83,Yemen,,887,CR,"183,214"
84,CENTRAL AND SOUTHERN ASIA,,921,,"9,702,120"
85,Central Asia,,5500,,"2,870,065"
86,Kazakhstan,,398,B,"1,868,663"
87,Kyrgyzstan,,417,B,"119,315"
88,Tajikistan,,762,B,"155,864"
89,Turkmenistan,,795,B,"102,887"
90,Uzbekistan,,860,B,"623,336"
91,Southern Asia,,5501,,"6,832,055"
92,Afghanistan,,4,B,"74,788"
93,Bangladesh,,50,B R,"1,061,320"
94,Bhutan,,64,B,"8,034"
95,India,,356,B R,"2,514,224"
96,Iran (Islamic Republic of),,364,B R,"1,260,410"
97,Maldives,,462,C,"8,540"
98,Nepal,,524,B R,"342,315"
99,Pakistan,,586,B R,"1,543,315"
100,Sri Lanka,,144,B R,"19,109"
101,EASTERN AND SOUTH-EASTERN ASIA,,1832,,"9,017,137"
102,Eastern Asia,,906,,"4,244,779"
103,China,9,156,C,"398,321"
104,"China, Hong Kong SAR",10,344,B,"1,798,925"
105,"China, Macao SAR",11,446,B,"214,070"
106,Dem. People's Republic of Korea,,408,I,"24,817"
107,Japan,,392,C,"1,290,723"
108,Mongolia,,496,C,"7,014"
109,Republic of Korea,,410,C,"510,909"
110,South-Eastern Asia,,920,,"4,772,358"
111,Brunei Darussalam,,96,B,"47,981"
112,Cambodia,,116,B,"36,270"
113,Indonesia,,360,B R,"147,684"
114,Lao People's Democratic Republic,,418,C R,"17,176"
115,Malaysia,12,458,C R,"1,333,221"
116,Myanmar,,104,C,"34,346"
117,Philippines,,608,C R,"105,291"
118,Singapore,,702,B,"1,205,461"
119,Thailand,,764,B R,"1,809,580"
120,Timor-Leste,,626,B,"3,331"
121,Viet Nam,,704,C R,"32,017"
122,LATIN AMERICA AND THE CARIBBEAN,,1830,,"5,826,152"
123,Caribbean,,915,,"709,682"
124,Anguilla,,660,B,"2,985"
125,Antigua and Barbuda,,28,B,"16,181"
126,Aruba,,533,B,"20,237"
127,Bahamas,,44,B,"31,118"
128,Barbados,,52,B,"19,169"
129,British Virgin Islands,,92,B,"10,536"
130,"Bonaire, Sint Eustatius and Saba",13,535,B,"7,990"
131,Cayman Islands,,136,C,"14,147"
132,Cuba,,192,B,"2,789"
133,Curaçao,,531,B,"24,070"
134,Dominica,,212,B,"3,961"
135,Dominican Republic,,214,B,"202,387"
136,Grenada,,308,B,"3,588"
137,Guadeloupe,14,312,B,"55,493"
138,Haiti,,332,B,"8,330"
139,Jamaica,,388,B,"11,548"
140,Martinique,,474,B,"34,694"
141,Montserrat,,500,B,666
142,Puerto Rico,,630,B,"142,848"
143,Saint Kitts and Nevis,,659,B,"3,595"
144,Saint Lucia,,662,B,"4,357"
145,Saint Vincent and the Grenadines,,670,B,"2,294"
146,Sint Maarten (Dutch part),,534,B,"14,720"
147,Trinidad and Tobago,,780,B,"30,135"
148,Turks and Caicos Islands,,796,B,"11,839"
149,United States Virgin Islands,,850,B,"30,005"
150,Central America,,916,,"968,736"
151,Belize,,84,B R ,"29,818"
